":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"Agent Alex Mercer","projectors","scanned","['scrutinized', 'browsed', 'surveyed', 'examined', 'inspected']","[]","Relation"
"Agent Alex Mercer","folder","thumbed","['handle', 'browse', 'flip through', 'touch', 'manipulate']","[]","Relation"
"Taylor Cruz","Agent Alex Mercer","demanded attention from","['needed notice', 'sought attention', 'required focus', 'claimed', 'commanded interest']","[]","Relation"
"Jordan Hayes","Agent Alex Mercer","offered supportive nod to","['agree', 'show approval', 'encourage', 'affirm', 'acknowledge']","[]","Relation"
"Sam Rivera","transmission logs","combed through","['scour', 'search', 'inspect', 'examine', 'sift through']","[]","Relation"
"Taylor Cruz","Agent Alex Mercer","reprimanded","['admonish', 'criticize', 'chastise', 'rebuke', 'scold']","[]","Relation"
"Agent Alex Mercer","Taylor Cruz","affirmed compliance to","['adhere to', 'agree to', 'obey', 'consent to', 'follow']","[]","Relation"
"Jordan Hayes","Agent Alex Mercer","understood","['recognize', 'realize', 'comprehend', 'grasp', 'interpret']","[]","Relation"
"Agent Alex Mercer","himself","formed resolve within","['determine', 'decide', 'settle on', ""make up one's mind"", 'reach a decision']","[]","Relation"
"The thrumming of monitors cast a stark contrast to the rigid silence enveloping the group.","Agent Alex Mercer seemed dwarfed by the enormity of the sterile briefing room.","at the same time","['synchronously', 'concurrently', 'simultaneous', 'together', 'meanwhile']","[]","Relation"
"Agent Alex Mercer seemed dwarfed by the enormity of the sterile briefing room.","He scanned the projectors outlining their impending odyssey into Operation: Dulce.","at the same time","['synchronously', 'concurrently', 'simultaneous', 'together', 'meanwhile']","[]","Relation"
"Taylor Cruz spoke with an edge that demanded attention.","Alex Mercer flickered a strained smile and thumbed his folder's corner.","because","['due to', 'since', 'for the reason that', 'as', 'owing to']","[]","Relation"
"Alex Mercer flickered a strained smile and thumbed his folder's corner.","He said 'Of course not, Agent Cruz. Just trying to soak in all the details.'","before","['prior to', 'ahead of', 'earlier than', 'preceding', 'precede']","[]","Relation"
"Jordan Hayes narrowed their eyes but offered a supportive nod.","They knew well enough the struggle of aligning personal convictions with overarching missions.","because","['due to', 'since', 'for the reason that', 'as', 'owing to']","[]","Relation"
"Sam Rivera added 'I’ve combed through the last transmission logs.'","Taylor Cruz snorted dismissively and said 'Focus, people. We have protocols for a reason.'","before","['prior to', 'ahead of', 'earlier than', 'preceding', 'precede']","[]","Relation"
"Taylor Cruz said 'Speculation is counter-productive.'","Alex Mercer straightened in his seat and said 'I agree, Agent Cruz. Protocol is paramount.'","as a result","['consequently', 'hence', 'thus', 'accordingly', 'therefore']","[]","Relation"
"Alex Mercer spoke in compliance with Taylor Cruz.","A quiet resolve took form within Alex, galvanized by the groundwork laid by their interactions.","at the same time","['synchronously', 'concurrently', 'simultaneous', 'together', 'meanwhile']","[]","Relation"
"Everyone began to collect their binders and prepare for departure.","A quiet resolve took form within Alex, galvanized by the groundwork laid by their interactions.","before","['prior to', 'ahead of', 'earlier than', 'preceding', 'precede']","[]","Relation"
"Alex Mercer's determination had merely taken a subtler form.","He wouldn't surrender so easily to the forthcoming shadows.","as a result","['consequently', 'hence', 'thus', 'accordingly', 'therefore']","[]","Relation"
"The thrumming of monitors cast a stark contrast to the rigid silence enveloping the group.","monitors","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"The thrumming of monitors cast a stark contrast to the rigid silence enveloping the group.","group","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Agent Alex Mercer seemed dwarfed by the enormity of the sterile briefing room where Paranormal Military Squad's elite convened.","Agent Alex Mercer","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Agent Alex Mercer seemed dwarfed by the enormity of the sterile briefing room where Paranormal Military Squad's elite convened.","sterile briefing room","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Agent Alex Mercer seemed dwarfed by the enormity of the sterile briefing room where Paranormal Military Squad's elite convened.","Paranormal Military Squad's elite","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"He scanned the projectors outlining their impending odyssey into Operation: Dulce.","Agent Alex Mercer","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"He scanned the projectors outlining their impending odyssey into Operation: Dulce.","projectors","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"He scanned the projectors outlining their impending odyssey into Operation: Dulce.","Operation: Dulce","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Taylor Cruz's voice, laced with an edge that demanded attention, said 'I assume, Agent Mercer, you’re not having second thoughts?'","Taylor Cruz","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Taylor Cruz's voice, laced with an edge that demanded attention, said 'I assume, Agent Mercer, you’re not having second thoughts?'","Agent Mercer","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Alex flickered a strained smile, still thumbing his folder's corner.","Alex","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Alex flickered a strained smile, still thumbing his folder's corner.","folder","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"He said 'Of course not, Agent Cruz. Just trying to soak in all the details.'","Alex","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"He said 'Of course not, Agent Cruz. Just trying to soak in all the details.'","Agent Cruz","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Jordan Hayes narrowed their eyes but offered a supportive nod.","Jordan Hayes","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Jordan said 'Details are imperative. We’ll need your clear-headedness down there, Mercer.'","Jordan","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Jordan said 'Details are imperative. We’ll need your clear-headedness down there, Mercer.'","Mercer","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Sam Rivera added 'I’ve combed through the last transmission logs. If anyone can make sense of the anomalies, it’s going to be the two of you.'","Sam Rivera","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Sam Rivera added 'I’ve combed through the last transmission logs. If anyone can make sense of the anomalies, it’s going to be the two of you.'","transmission logs","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Taylor snorted dismissively.","Taylor","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Taylor said 'Focus, people. We have protocols for a reason. Speculation is counter-productive.'","Taylor","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Alex straightened in his seat and said 'I agree, Agent Cruz. Protocol is paramount,' meeting Taylor's steely gaze.","Alex","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Alex straightened in his seat and said 'I agree, Agent Cruz. Protocol is paramount,' meeting Taylor's steely gaze.","Agent Cruz","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Alex straightened in his seat and said 'I agree, Agent Cruz. Protocol is paramount,' meeting Taylor's steely gaze.","Taylor","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Jordan tilted their head ever so slightly, their eyes revealing a spark of understanding.","Jordan","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"They knew well enough the struggle of aligning personal convictions with overarching missions.","Jordan","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Everyone began to collect their binders and prepare for departure.","everyone","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Everyone began to collect their binders and prepare for departure.","binders","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"A quiet resolve took form within Alex, galvanized by the groundwork laid by their interactions.","Alex","is participated by","['has participant', 'engages', 'involves', 'features', 'includes']","[]","Relation"
"Operation: Dulce","Agent Alex Mercer","involves","['relates to', 'concerns', 'includes', 'entails', 'incorporates']","[]","Relation"
"Paranormal Military Squad","briefing room","convenes","['calls together', 'gathers', 'assembles', 'summons', 'meets']","[]","Relation"
"Agent Alex Mercer","projectors","scans","['check', 'inspect', 'examine', 'look over', 'survey']","[]","Relation"
"Taylor Cruz","Agent Alex Mercer","questions","['interrogate', 'challenge', 'ask', 'query', 'inquire']","[]","Relation"
"Agent Alex Mercer","Taylor Cruz","affirms compliance with","['verifies conformity with', 'confirms', 'agrees to', 'asserts adherence to']","[]","Relation"
"Jordan Hayes","Agent Alex Mercer","supports","['backs', 'upholds', 'bolsters', 'advocates for', 'champions']","[]","Relation"
"Sam Rivera","last transmission logs","mentions","['alludes to', 'brings up', 'refers to', 'cites', 'touches on']","[]","Relation"
"Taylor Cruz","Sam Rivera","dismisses","['discharges', 'terminates', 'sacks', 'fires', 'lets go']","[]","Relation"
"Jordan Hayes","Agent Alex Mercer","understands","['realize', 'perceive', 'know', 'comprehend', 'grasp']","[]","Relation"
